bird_ID,species,strain,source,date_tested,age,age_unit,production_type,gender,healthy,comments,flock_name,source_name,street_address,city,state,zip
1,turkey,not recorded,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
2,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
3,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
4,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
5,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
6,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
7,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
8,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
9,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
10,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
11,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
12,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
13,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
14,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
15,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
16,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
17,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
18,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
19,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
20,turkey,not reported,TAU,13-Aug-21,1,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
21,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
22,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
23,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
24,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
25,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
26,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
27,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
28,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
29,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
30,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
31,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
32,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
33,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
34,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
35,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
36,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
37,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
38,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
39,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
40,turkey,not reported,TAU,14-Aug-21,2,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
41,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
42,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
43,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
44,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
45,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
46,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
47,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
48,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
49,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
50,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
51,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
52,turkey,not reported,TAU,15-Aug-21,3,d,meat,female,TRUE,,TF21,TAU Poultry House,SN Poultry Rd,Raleigh,NC,27606
