ID,bird_ID,pH,POC2,PO2,BE,HCO3,TCO2,sO2,Na,K,iCa,Glu,Hct,Hgb
1,1,7.377,20.4,45,-13,12,13,82,139,2.9,0.97,190,20,6.8
2,2,7.485,24.6,60,-5,18.6,19,93,138,2.3,1.22,232,16,5.4
3,3,7.438,24.5,75,-8,16.5,17,96,136,2.5,1.22,227,21,7.1
4,4,7.466,25.9,76,-5,18.7,19,96,139,3,1.13,229,21,7.1
5,5,7.422,22.9,56,-10,14.9,16,90,140,2.8,1.03,220,20,6.8
6,6,7.254,29.6,57,-14,13.1,14,85,141,2.8,1.07,203,22,7.5
7,7,7.41,31.1,50,-5,19.7,21,86,138,2.1,1.23,250,22,7.5
8,8,7.393,30.5,53,-6,18.6,19,88,139,2.5,1.1,225,26,8.8
9,9,7.451,25.9,41,-6,18.1,19,80,138,2.7,1.03,233,19,6.5
10,10,7.386,27.9,60,-8,16.7,18,91,139,2.3,1.41,220,23,7.8
11,11,7.472,27.5,47,-4,20.1,21,86,145,2.7,1.21,239,19,6.5
12,12,7.448,26.1,174,-6,18,19,100,133,2.7,0.7,249,19,6.5
13,13,7.454,28.5,83,-4,20,21,97,143,2.4,1.24,253,20,6.8
14,14,7.331,34.3,93,-8,18.1,19,97,134,2.1,1.14,223,22,7.5
15,15,7.419,31.5,74,-4,20.4,21,95,138,2.2,1.3,224,20,6.8
16,16,7.37,34.2,94,-6,19.8,21,97,139,2.4,1.11,238,25,8.5
17,17,7.405,30.8,142,-5,19.3,20,99,144,2.5,1.14,222,18,6.1
18,18,7.358,34.1,107,-6,19.2,20,98,147,2.6,1.28,245,26,8.8
19,19,7.302,35.7,90,-9,17.7,19,96,141,2.1,1.31,227,24,8.2
20,20,7.378,34,70,-5,20,21,93,137,2.3,1.31,226,25,8.5
21,21,7.454,34.4,98,0,24.1,25,98,137,2.6,1.17,316,19,6.5
22,22,7.422,26.2,47,-7,17,18,84,133,2.5,0.92,195,18,6.1
23,23,7.393,26,80,-9,15.8,17,96,139,2.4,1.15,200,22,7.5
24,24,7.477,24.8,166,-5,18.3,19,100,134,2.4,0.92,210,19,6.5
25,25,7.471,17.6,70,-11,12.8,13,95,131,2.4,0.6,164,19,6.5
26,26,7.529,30.2,43,2,25.2,26,84,138,4.3,1.24,276,23,7.8
27,27,7.453,27.7,67,-5,19.4,20,94,142,2.1,1.2,232,20,6.8
28,28,7.373,30.3,76,-8,17.6,19,95,135,2.8,0.79,191,19,6.5
29,29,7.463,21.3,138,-9,15.3,16,99,135,3.4,0.76,174,22,7.5
30,30,7.546,22.8,104,-3,19.7,20,99,142,2.6,1.29,231,22,7.5
31,31,7.471,29.9,73,-2,21.8,23,96,138,2.9,1.27,342,24,8.2
32,32,7.472,28.2,102,-3,20.6,21,98,138,2.1,1.17,214,20,6.8
33,33,7.407,28.9,79,-7,18.2,19,96,134,2.4,0.9,182,21,7.1
34,34,7.415,31.7,57,-4,20.3,21,90,136,2.4,1.31,220,28,9.5
35,35,7.49,28.8,56,-1,21.9,23,92,139,2.8,1.21,216,25,8.5
36,36,7.525,22.7,81,-4,18.8,19,97,138,2.5,1.17,218,24,8.2
37,37,7.44,28.4,59,-5,19.3,20,92,138,2.3,1.33,214,25,8.5
38,38,7.416,30.6,130,-5,19.6,21,99,138,2.1,1.08,213,20,6.8
39,39,7.361,35.5,80,-5,20,21,95,138,2.6,1.29,228,25,8.5
40,40,7.52,27.9,63,0,22.8,24,94,139,2.4,1.17,291,27,9.2
41,41,7.515,33.1,48,4,26.7,28,88,135,4.4,1.3,314,20,6.8
42,42,7.411,36.4,,-1,23.1,24,,134,3.8,1.37,254,20,6.8
43,43,7.526,31.8,67,4,26.5,27,95,136,4.2,1.1,240,20,6.8
44,44,7.431,28.2,53,-6,18.8,20,89,131,4.3,1.17,252,21,7.1
45,45,7.53,28.1,55,1,23.4,24,92,131,4.3,0.87,288,16,5.4
46,46,7.533,25.4,,-1,21.4,22,,129,3.6,0.7,226,15,5.1
47,47,7.469,30,122,-2,21.8,23,99,130,4.1,0.91,233,17,5.8
48,48,7.443,37.1,115,1,25.4,27,99,138,4.2,1.28,277,17,5.8
49,49,7.451,35.6,93,1,24.8,26,98,138,4.6,1.2,342,28,9.5
50,50,7.496,35.3,87,4,27.3,28,97,134,4.5,1.03,268,26,8.8
51,51,7.381,26.9,65,-9,15.9,17,92,139,4.1,1.32,255,19,6.5
52,52,7.529,32.3,45,4,26.9,28,86,138,4,1.28,247,22,7.5
53,53,7.462,32.8,81,0,23.5,24,97,138,4.3,1.3,268,21,7.1
54,54,7.448,43.1,57,-1,23.1,24,90,142,4.5,1.23,296,21,7.1
55,55,7.528,28.2,49,1,23.4,24,89,135,4,1.2,319,20,6.8
56,56,7.509,33.7,54,4,26.8,28,91,137,4.2,1.37,281,22,7.5
57,57,7.489,36.5,48,4,27.8,29,87,136,4.2,1.37,318,22,7.5
58,58,7.468,33.4,51,1,24.2,25,89,139,3.9,1.25,338,26,8.8
59,59,7.412,29,52,-6,18.5,19,87,126,2.7,1.1,232,21,7.1
60,60,7.477,36.5,55,3,27,28,88,131,3.9,1.05,295,20,6.8
61,61,7.419,29.5,50,-5,19.1,20,87,133,4.3,1.06,252,18,6.1
