ID,bird_ID,AST,BA,CK,UA,GLU,CA,PHOS,TP,ALB,GLOB,K,NA
1,1,207,0,1255,2.1,201,9,4.2,2.4,1.4,1,3.6,145
2,2,194,0,1800,2.6,239,8.9,3.8,2.2,1.3,0.9,3.1,141
3,3,194,0,727,1.7,229,9.1,4.2,2.9,1.8,1.1,3.4,140
4,4,234,2,1121,1.1,232,9.2,3.5,2.5,1.6,0.9,3.9,144
5,5,192,0,1468,2.2,229,9.1,4.4,2.5,1.5,1,3.6,147
6,6,201,0,729,2.4,214,9.2,2.5,2.7,1.6,1.1,3.6,146
7,7,189,0,1708,2.1,254,9.2,3.6,2.3,1.4,0.9,2.9,142
8,8,172,0,790,3.3,239,9.1,2.6,2.7,1.7,1,3.4,147
9,9,197,4,1217,3.4,246,9.3,3.8,2.3,1.6,0.7,3.7,149
10,10,219,0,1588,2.6,258,10.1,3.9,2.5,1.8,0.7,3.8,151
11,11,224,0,1615,2.6,254,9.8,3.7,2.5,1.8,0.7,3.8,149
12,12,155,0,605,2.3,264,8.8,2.9,2.5,1.5,1,3.5,145
13,13,250,5,898,2.6,261,9.7,2.9,2.7,1.6,1.1,2.8,147
14,14,156,14,648,1.2,232,9.1,4.2,2.4,1.3,1.1,2.3,135
15,15,155,0,1111,2.4,233,9.4,3.7,2,1.2,0.9,2.5,138
16,16,196,0,851,3.5,248,9.5,3.9,2.8,1.7,1,2.9,140
17,17,184,0,1053,2.3,232,9.8,2.7,2.2,1.2,1,3.1,148
18,18,217,0,1078,7.2,253,9.9,2.9,2.7,1.5,1.2,3.2,149
19,19,193,1,1110,1.9,238,9.3,4.7,2.6,1.6,1.1,2.6,139
20,20,232,0,1175,5.3,229,9.6,3.6,2.4,1.2,1.2,3.6,145
21,21,235,3,1031,5.4,319,9.3,6,2.7,1.5,1.2,3.3,140
22,22,183,0,592,2.1,203,9.8,3,3.6,1,2.6,3.3,146
23,23,195,0,674,1.4,208,9.8,4.7,2.9,1.3,1.6,3.1,144
24,24,195,0,751,2,215,9.5,3.8,2.8,1.4,1.5,3.2,143
25,25,215,0,690,2.2,172,8.6,2.2,3,1.3,1.7,3.3,150
26,26,171,23,523,6.2,285,10.6,7,2.6,1.7,0.9,5.5,144
27,27,183,0,747,3.4,238,10.3,4.1,2.8,1.5,1.3,2.8,149
28,28,231,5,763,2.7,201,9.3,2.9,2.8,1.2,1.6,3.9,145
29,29,212,0,563,2.1,182,8.9,4.1,2.9,1.4,1.4,4.6,148
30,30,200,0,565,2.2,237,10.6,3.1,3.2,1.6,1.6,3.4,146
31,31,212,0,569,8.3,355,9.6,5.2,2.9,1.8,1,3.4,142
32,32,266,13,494,2.7,222,10.1,3.8,2.9,1.4,1.5,2.6,142
33,33,173,9,462,1.3,191,8.9,4.7,2.6,1.2,1.4,3,145
34,34,192,0,1020,1.1,226,10.2,5.4,2.7,1.7,1.1,2.6,139
35,35,228,0,1572,1.5,223,9.8,4.7,3,1.7,1.3,3.1,144
36,36,202,0,803,2.9,226,10,4.2,3,1.5,1.5,3.2,143
37,37,192,0,454,2.6,219,10.5,5.2,3.2,1.7,1.5,2.8,141
38,38,174,0,769,2.3,228,9.9,4.2,2.8,1.4,1.4,2.8,148
39,39,164,0,490,3.2,237,9.8,3.4,2.7,1.4,1.3,3.1,139
40,40,198,0,761,7.5,299,9.7,5,2.8,1.6,1.2,3,142
41,41,239,46,203,3.6,314,11.4,7.1,3,1.8,1.2,5.7,142
42,42,190,7,324,7.1,257,10.6,4.7,3,1.6,1.4,4.7,140
43,43,186,28,255,2.2,238,10.7,6.8,3,1.5,1.5,4.9,142
44,44,203,1,372,2.1,254,10.7,5.4,3,1.4,1.7,5,138
45,45,149,26,344,5.5,291,10.1,7.3,2.5,1.2,1.3,5.3,145
46,46,176,34,349,8.7,228,8.9,5,2.5,1.2,1.3,4.4,145
47,47,188,15,359,3,236,9.8,5,2.6,1.3,1.3,4.9,142
48,48,202,33,304,4.4,279,11.1,7.6,2.9,1.5,1.4,5.2,145
49,49,184,20,397,4.5,336,10.5,5.7,3.1,1.6,1.6,5.7,145
50,50,185,38,460,4.3,266,10.8,7.1,3,1.6,1.4,5.2,142
51,51,194,11,329,3.5,258,10.7,4.9,3.1,1.4,1.7,4.4,142
52,52,184,30,148,3.1,252,10.8,7.3,3,1.7,1.3,4.4,144
53,53,179,28,337,4.4,276,10.6,5.3,2.8,1.4,1.3,4.7,145
54,54,188,39,448,9,295,10.1,6.7,2.7,1.2,1.5,5.1,148
55,55,168,35,263,4.4,320,10.3,7,2.7,1.3,1.4,4.4,143
56,56,233,49,957,4.7,282,11.1,8.1,2.7,1.3,1.3,4.8,143
57,57,170,79,241,4.4,319,10.9,7.9,2.5,1.4,1.1,5.1,141
58,58,242,10,536,7.1,337,9.8,6.3,3.1,1.6,1.5,4.5,142
59,59,208,0,359,2,226,9.5,2.8,3.3,1.8,1.4,3.2,130
60,60,276,96,178,6,293,10.4,7,2.6,1.3,1.3,4.8,141
61,61,189,26,312,6,250,10.1,5.3,3.3,1.7,1.7,5.5,140
62,62,149,20,329,2.7,283,11.4,7.8,3.2,1.6,1.6,4.9,142
